CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,State Abbreviation
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area,,"Virginia Beach-Norfolk, VA-NC",Virginia Beach city,Virginia,51,810,Central,VA
47260,,545,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area,,"Virginia Beach-Norfolk, VA-NC",Williamsburg city,Virginia,51,830,Outlying,VA
47300,,546,"Visalia-Porterville, CA",Metropolitan Statistical Area,,"Visalia-Porterville-Hanford, CA",Tulare County,California,06,107,Central,CA
47340,,,"Wabash, IN",Micropolitan Statistical Area,,,Wabash County,Indiana,18,169,Central,IN
47380,,,"Waco, TX",Metropolitan Statistical Area,,,Falls County,Texas,48,145,Outlying,TX
47380,,,"Waco, TX",Metropolitan Statistical Area,,,McLennan County,Texas,48,309,Central,TX
47420,,244,"Wahpeton, ND-MN",Micropolitan Statistical Area,,"Fargo-Wahpeton, ND-MN",Wilkin County,Minnesota,27,167,Outlying,MN
47420,,244,"Wahpeton, ND-MN",Micropolitan Statistical Area,,"Fargo-Wahpeton, ND-MN",Richland County,North Dakota,38,077,Central,ND
47460,,,"Walla Walla, WA",Metropolitan Statistical Area,,,Columbia County,Washington,53,013,Outlying,WA
47460,,,"Walla Walla, WA",Metropolitan Statistical Area,,,Walla Walla County,Washington,53,071,Central,WA
47540,,338,"Wapakoneta, OH",Micropolitan Statistical Area,,"Lima-Van Wert-Celina, OH",Auglaize County,Ohio,39,011,Central,OH
47580,,356,"Warner Robins, GA",Metropolitan Statistical Area,,"Macon-Warner Robins, GA",Houston County,Georgia,13,153,Central,GA
47580,,356,"Warner Robins, GA",Metropolitan Statistical Area,,"Macon-Warner Robins, GA",Peach County,Georgia,13,225,Outlying,GA
47580,,356,"Warner Robins, GA",Metropolitan Statistical Area,,"Macon-Warner Robins, GA",Pulaski County,Georgia,13,235,Outlying,GA
47620,,,"Warren, PA",Micropolitan Statistical Area,,,Warren County,Pennsylvania,42,123,Central,PA
47660,,312,"Warrensburg, MO",Micropolitan Statistical Area,,"Kansas City-Overland Park-Kansas City, MO-KS",Johnson County,Missouri,29,101,Central,MO
47700,,,"Warsaw, IN",Micropolitan Statistical Area,,,Kosciusko County,Indiana,18,085,Central,IN
47780,,,"Washington, IN",Micropolitan Statistical Area,,,Daviess County,Indiana,18,027,Central,IN
47820,,274,"Washington, NC",Micropolitan Statistical Area,,"Greenville-Washington, NC",Beaufort County,North Carolina,37,013,Central,NC
47900,43524,548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,"Silver Spring-Frederick-Rockville, MD","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Frederick County,Maryland,24,021,Outlying,MD
